Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Bee_iso,Research_country,Research_iso,Country,Iso_code,Collection time,Approach group
An AI-Based Open-Source Software for Varroa Mite Fall Analysis in Honeybee Colonies (VarroDetector),Yániz et al.,2025,Detection,Varroa & Disease Detection — Open-Source YOLOv11 Sticky-Board Varroa Counter,"YOLOv11 Nano (lightweight one-stage detector, input size 8000px to resolve tiny mites) + ROI auto-detection via guide strings. Free standalone app (no GPU, no internet). R²=0.98–0.99 vs manual count. 204 sticky sheets, 70 hives, 2 commercial apiaries, Spain. Outperforms trained human operators at >50 mites/sheet.",Image,https://www.mdpi.com/2077-0472/15/9/969,"Infestation by Varroa destructor is responsible for high mortality rates in Apis mellifera colonies worldwide. This study was designed to develop and test under field conditions a new free software (VarroDetector) based on a deep learning approach for the automated detection and counting of Varroa mites using smartphone images of sticky boards collected in honeybee colonies. A total of 204 sheets were collected, divided into four frames using green strings, and photographed under controlled lighting conditions with different smartphone models at a minimum resolution of 48 megapixels. The Varroa detection algorithm comprises two main steps: First, the region of interest where Varroa mites must be counted is established. From there, a one-stage detector is used, namely YOLO v11 Nano. A final verification was conducted counting the number of Varroa mites present on new sticky sheets both manually through visual inspection and using the VarroDetector software and comparing these measurements with the actual number of mites present on the sheet (control). The results obtained with the VarroDetector software were highly correlated with the control (R2 = 0.98 to 0.99, depending on the smartphone camera used), even when using a smartphone for which the software was not previously trained. When Varroa mite numbers were higher than 50 per sheet, the results of VarroDetector were more reliable than those obtained with visual inspection performed by trained operators, while the processing time was significantly reduced. It is concluded that the VarroDetector software Version 1.0 (v. 1.0) is a reliable and efficient tool for the automated detection and counting of Varroa mites present on sticky boards collected in honeybee colonies.",MDPI,neural network honeybees,to detect and count Varroa destructor mites used to monitor infestation in bee colonies,Spain (Lab setting),Spain,Spain,ESP,Spain,ESP,Spain,ESP,2025,
Apis mellifera Bee Verification with IoT and Graph Neural Networks,Martínez et al.,2025,Classification,Species & Subspecies Classification — GNN + kNN IoT-Based Bee Individual Verification,"IoT image capture + Graph Neural Network (GNN) for individual bee verification + kNN baseline. GNN models bee morphological features as a graph, capturing relational structure between body parts. Targets species-level verification for endangered-colony preservation.",Image,https://www.mdpi.com/2076-3417/15/14/7969,"Automatic recognition systems (ARS) have been proposed in scientific and technological research for the care and preservation of endangered species; these systems, consisting of Internet of Things (IoT) devices and object-recognition techniques with artificial intelligence (AI), have emerged as proposed solutions to detect and prevent parasite attacks on Apis mellifera bees. This article presents a pilot ARS for the recognition and analysis of honeybees at the hive entrance using IoT devices and automatic object-recognition techniques, for the early detection of the Varroa mite in test apiaries. Two object-recognition techniques, namely the k-Nearest Neighbor Algorithm (kNN) and Graph Neural Network (GNN), were evaluated with an image dataset of 600 images from a single beehive. The results of the experiments show the viability of using GNN in real environments. GNN has greater accuracy in bee recognition, but with greater processing time, while the kNN classifier requires fewer processing resources but has lower recognition accuracy",MDPI,neural network honeybees,recognition and analysis of honeybees,"Wales, UK (Lab settig)",Mexico,United Kingdom,GBR,Mexico,MEX,United Kingdom,GBR,2024,Hybrid / Multi-Model
Deep Learning-Based Detection of Honey Storage Areas in Apis mellifera for Predicting Physical Parameters via Linear Regression,Khokthong et al.,2025,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — YOLOv11 Honey Cell Detection with Regression Prediction,"YOLOv11 (detect, classify, quantify honey cells in comb images) + linear regression (predict honey physical parameters: water content, viscosity, density from detected cell area/ratio). Automated honey storage assessment from comb photographs.",Image,https://www.mdpi.com/2075-4450/16/6/575,"Traditional methods for assessing honey storage in beehives predominantly rely on manual visual inspection, which often leads to inconsistencies and inefficiencies. This study presents an automated deep learning approach utilizing the YOLOv11 model to detect, classify, and quantify honey cells within Apis mellifera frames across monthly sampling periods. The model’s performance varied depending on image resolution and dataset partitioning. Using the free version of YOLOv11 with high-resolution images (960 × 960 resolution) and a dataset split of 90:5:5 for training, validating, and testing, the model achieved a mean average precision at IoU threshold of 0.5 (mAP@0.5) of 83.4% for uncapped honey cells and 80.5% for capped honey cells. A strong correlation (r = 0.94) was observed between the 90:5:5 and 80:10:10 dataset splits, indicating that increasing the volume of training data enhances classification accuracy. In parallel, the study investigated the relationship between the physical properties of honey and image-based honey storage detection. Of the four tested properties, electrical conductivity (R2 = 0.19) and color (R2 = 0.21) showed weak predictive power for honey storage area estimation, with even weaker associations found for pH and moisture content. The honey storage areas via 90:5:5 and 80:10:10 datasets moderately correlated (r = 0.44–0.46) with increasing electrical conductivity and color. Especially, electrical conductivity exhibited statistically significant correlations with dataset performance across different dataset splits (p < 0.05), suggesting some potential influence of chemical composition on model accuracy. Our findings demonstrate the viability of image-based honey classification as a reliable technique for monitoring beehive productivity. Additionally, the research on image-based honey detection can be a non-invasive solution for improved honey production, beehive productivity, and optimized beekeeping practices.",MDPI,machine learning method for honeybee,"detect, classify, and quantify honey cells",Thailand,Thailand,Thailand,THA,Thailand,THA,Thailand,THA,2025,Object Detection / Segmentation
Deep Semantic Segmentation Applied to Honey Bee Comb Cells,Vasconcelos et al.,2025,Detection,Colony Health & Acoustic Monitoring — Semantic Segmentation Architecture Benchmark for Comb Cells,"SegNet + MobileNet encoder compared with multiple other architecture-encoder combinations. Evaluated by Intersection over Union (IoU). Multi-class semantic segmentation: honey cells, brood cells, pollen cells, empty cells.",Image,https://www.researchgate.net/publication/389184252_Deep_Semantic_Segmentation_Applied_to_Honey_Bee_Comb_Cells,"Machine learning is increasingly prevalent in various ﬁelds, including beekeeping, where it has beenapplied to honeycomb analysis through Semantic Segmentation of images. This study evaluates differentneural network architectures and encoders using the Intersection over Union (IoU) method to segment Apismellifera honeycombs. A comparative analysis of semantic segmentation techniques was conducted, revealingadvancements in the ﬁeld with the SegNet architecture combined with the MobileNet encoder for featureextraction. We present a new dataset of 10 comb cell images, which we combine with the images from theDeepBee dataset in our experiments. Our results surpass the state-of-the-art results for comb cell segmentationin the DeepBee dataset.",ResearchGate,-,honeycomb segmentation,-,Brazil,,,Brazil,BRA,Brazil,BRA,2024,CNN & Variants
Evaluation of Classification Performance of Honey Bee Species with Deep Learning Models,Çalışan et al.,2025,Classification,Species & Subspecies Classification — CNN/ResNet K-Fold Benchmark for Species Classification,CNN + ResNet variants with K-fold cross-validation. Systematic benchmark comparing model performance and generalisation for honey bee species classification from images. Addresses class imbalance and small dataset challenges.,Image,https://electricajournal.org/index.php/pub/article/view/1240,"Bees, which have a critical role in the sustainability of our ecosystem, are of vital importance in maintaining ecological balance and biodiversity. More than one-third of the world’s food production is dependent on pollinators, and one of the most important of these is the honey bee. As the decline of bee populations threatens ecological balance and biodiversity, the importance of computer vision techniques for the automatic detection of these species is increasing. In this study, two different deep learning models based on classical convolutional neural network (CNN) and Residual Neural Network (ResNet) architectures are proposed and their effectiveness in classifying honey bee species is examined. Model1 is based on the CNN structure and Model2 uses CNN-ResNet integration. In the experiments on the BeeImage dataset containing images of six different honey bee species, it was determined that Model1 achieved 94.91%, and Model2 achieved 93.63% with the K-fold Cross-Validation technique. The results show that deep learning models can classify bee species in a fast and low-cost way. It is seen that these technologies have significant potential in biological research. The high success rates obtained in the study show that the developed deep learning models can contribute to the protection of biodiversity.",Electrica journal,-,Honey bee species classification,United  States,Turkey,United States,USA,TÃ¼rkiye,TUR,United States,USA,2018,CNN & Variants
Honey Bee Piping Detection Utilizing Convolutional Neural Networks,Campell et al.,2025,Classification,Colony Health & Acoustic Monitoring — Classification,"MFCC feature extraction + CNN classifier. Binary: piping signal present vs absent. Piping is a queen-specific vocalization signalling queen emergence, rivalry, and swarming preparation. Dataset: labelled in-hive audio recordings.",Audio (MFCC),https://ieeexplore.ieee.org/document/10944248/,"Audio recordings from inside honey beehives can provide significant information about the health and build-up status of the hives. Bees emit important bioacoustic indicators, such as auditory piping signals, which can play a significant role in determining the growth and health status of the hive. As part of the Appalachian Multipurpose Apiary Informatics System (AppMAIS) project, we have installed microphones inside 28 beehives in the Western region of North Carolina. Several of these hives have swarmed over the past two years, allowing us to collect a multitude of recordings containing piping. Using this data, we have trained a piping detector convolutional neural network (CNN), which can function with high accuracy across three unique hives. This article provides details regarding the acoustic properties of the relevant subclasses of piping signals and the design and implementation of a piping classifier.",IEEE,neural network honeybees,Honey bee piping detection(associated with colony behaviour),US(North Carolina),US(North Carolina),United States,USA,United States,USA,United States,USA,2023,CNN & Variants
Image-Based South Asian Bee Species Identification: A Machine Learning Approach,Srinivas et al.,2025,Classification,Species & Subspecies Classification — MobileNetV2 Transfer Learning for South Asian Species ID,"MobileNetV2 (transfer learning, ImageNet pre-trained) fine-tuned for South Asian bee species classification. Addresses geographic gap — most prior work focuses on Apis mellifera in Europe/North America. Image-based field identification.",Image,https://www.researchgate.net/publication/393436748_Image-based_South_Asian_bee_species_identification_a_machine_learning_approach,"Healthy ecosystems provide indispensable services like pollination, climate regulation, and soil formation. Pollination service provided by insects alone is valued at €153 billion. Bees are one of the major insect pollinators, making them economically important animals, yet their populations are threatened by anthropogenic pressures. Monitoring the distribution and diversity of wild bees becomes daunting as it involves extensive field surveys, sample collection, and traditional taxonomy. Logistic and ethical issues complicate this further. Machine learning (ML) on passively collected visual data can provide a non-invasive, large-scale solution to these problems. However, a significant challenge for ML application is the lack of geographically varying training data for different bee species, especially from species-rich tropical regions. In addition, these algorithms have predominantly been tested on image data collected under controlled conditions inside laboratories. ML models must be trained to perform on field-collected unrefined images of different bee species for rapid yet non-invasive diversity estimation. In this study, to challenge and bolster the existing deep learning networks, we collected 3250 field-captured images of major South Asian social bees (A. dorsata, A. cerana, A. florea, and Tetragonula spp.). We did not control these images for lighting and camera perspectives, which posed significant challenges to the models. We benchmarked this image dataset using standard convolution neural network (CNN) models, finding that MobileNet-V2 was the best model, achieving the highest accuracy of 98.4%.",ResearchGate/Journal of Insect Conservation,-,Honey bee species classification,South Asia- South India,India,India,IND,India,IND,India,IND,2025,CNN & Variants
Spectral Components of Honey Bee Sound Signals Recorded Inside and Outside the Beehive: An Explainable Machine Learning Approach to Diurnal Pattern Recognition,Ksiazek et al.,2025,Classification,Colony Health & Acoustic Monitoring — Explainable CNN for Time-of-Day Acoustic Pattern Recognition,CNN with explainability analysis (feature attribution / saliency maps). Input: MFCC and PSD spectral features from inside and outside hive microphones. Classifies time-of-day activity classes (diurnal pattern). Compares microphone placement (internal vs external).,Audio,https://www.mdpi.com/1424-8220/25/14/4424,"This study investigates the impact of microphone placement on honey bee audio monitoring for time-of-day classification, a key step toward automated activity monitoring and anomaly detection. Recognizing the time-dependent nature of bee behavior, we aimed to establish a baseline diurnal pattern recognition method. A custom apparatus enabled simultaneous audio acquisition from internal (brood frame, protected from propolization) and external hive locations. Sound signals were preprocessed using Power Spectral Density (PSD). Extra Trees and Convolutional Neural Network (CNN) classifiers were trained to identify diurnal activity patterns. Analysis focused on feature importance, particularly spectral characteristics. Interestingly, Extra Trees performance varied significantly. While achieving near-perfect accuracy (98–99%) with internal recordings, its accuracy was considerably lower (61–72%) with external recordings, even lower than CNNs trained on the same data (76–87%). Further investigation using Extra Trees and feature selection methods using Mean Decrease Impurity (MDI) and Recursive Feature Elimination with Cross-Validation (RFECV) revealed the importance of the 100–600 Hz band, with peaks around 100 Hz and 300 Hz. These findings inform future monitoring setups, suggesting potential for reduced sampling frequencies and underlining the need for monitoring of sound inside the beehive in order to validate methods being tested.",MDPI/ Acoustic Sensors and Their Applications,machine learning for honey bee behavior detection,detect diurnal colony activity patterns,Poland,Poland,Poland,POL,Poland,POL,Poland,POL,2025,CNN & Variants
Visual Recognition of Honeybee Behavior Patterns at the Hive Entrance,Sledevič et al.,2025,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — YOLOv8 Detection + Segmentation for Behaviour Pattern Recognition,"YOLOv8 (detection + instance segmentation models compared). Analyses multiple behavioral dimensions: bee count, velocity, trajectory clusters, orientation, density maps. Integrates complementary sensors (weight, acoustic, thermal). PLoS ONE 2025.",Multimodal (Image/Video),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0318401,"This study presents a novel method for automatically recognizing honeybee behavior patterns at the hive entrance, significantly contributing to beekeeping and hive management. Utilizing advanced YOLOv8 models for detection and segmentation, our approach analyzes various aspects of bee behavior, including location, direction, path trajectory, and movement speed within a designated area on the hive’s landing board. The system effectively detects multiple bee activities such as foraging, fanning, washboarding, and defense, achieving a mean detection accuracy of 98% and operating at speeds of up to 36 fps, surpassing state-of-the-art methods in both speed and accuracy. Key contributions include the development of a comprehensive dataset with 7200 frames from eight beehives, the introduction of the first known research focused on recognizing bee behavior patterns through visual analysis at the hive entrance, and a comparative evaluation of various object detection and tracking algorithms tailored for bee detection and behavior recognition. Our findings indicate that this method enhances monitoring capabilities for beekeepers while reducing the need for manual inspections, thereby minimizing disturbances to the bees. By analyzing spatial trajectories and occurrence density maps, the proposed framework provides robust identification of overlapping behaviors, facilitating timely interventions when necessary. This work lays the groundwork for future automated monitoring systems aimed at improving hive health and productivity.",Plos One Journal,,automated monitoring of bee behaviour patterns,Lithuania,Lithuania,Lithuania,LTU,Lithuania,LTU,Lithuania,LTU,2023,Object Detection / Segmentation
A Comparative Study of Hybrid Machine-Learning vs. Deep-Learning Approaches for Varroa Mite Detection and Counting,Ghezal & König,2025,Detection,Varroa & Disease Detection — Comparative Study of ML vs DL on Hyperspectral Varroa Board Images,"Controlled comparison of (1) classical ML pipeline: PCA (5 components, 93.6% variance) → 1-NN segmentation → blob extraction → 6 geometric features → linear SVM; and (2) deep learning: Faster R-CNN with ResNet-50 + FPN and ResNet-101 + FPN (25-channel hyperspectral input, Optuna tuning, 300 epochs). Data: 12 hyperspectral images (Photonfocus, 25 bands 675–975 nm) of Varroa boards; 6 train / 6 test (38 mites). Results: ML: Precision 0.9983, Recall 0.9947, F1 0.9918 (37/38); ResNet-50: F1 0.848 (28/38); ResNet-101: F1 0.894 (30/38). ML training ~69 s CPU vs DL >1000 s GPU. Sensors 25(16):5075, Aug 2025.",Image,,,,,,,,,,,,,,,
